NEWS_HEADINGS,NEWS_AUTHOR,NEWS_PARAGRAPH,PUBLISHED_DATE,URLS,images
"AN INVESTOR’S GUIDE TO THE CONSTRUCTION BOOM
",16,Who will benefit from the recently-announced tax amnesty for the construction sector? ,"May 25, 2020",https://i.dawn.com/medium/2020/05/5ec9c21827952.jpg?r=2006305109,
"HEALTH: THE ANTIBODIES AND I
",Shazia Hasan,Could antibodies testing for Covid-19 help Pakistan conduct mass testing and allow smart-lockdowns to be put in place...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec8626d3bb49.jpg,
"WHAT DOES OUR SEROPREVALENCE STUDY TELL US?
",Dr Wajiha Javed,An epidemiologist who oversaw Getz Pharma’s antibodies testing explains what their findings mean and how they...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec86260f2cbf.jpg,
"HOCKEY: THE ROUGH END OF THE STICK
",Ijaz Chaudhry,"Former coach Roelant Oltmans has served Pakistan hockey enough to know what its strengths and shortcomings are. In an exclusive interview with Eos, he bares his heart...","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec8603e16a7b.jpg,
"PARENTING: CHILDREN OF THE PANDEMIC
",Zofishan Umair,"Children are dealing with a lot of change, stress, and isolation as a result of the pandemic. ","May 26, 2020",https://i.dawn.com/medium/2020/05/5ec8602c28d6d.jpg,
"EXHIBITION: MOVING PAINTINGS
",Zohreen Murtaza,"Laced with devotion to the healing qualities of nature, Fauzia Minallah’s artworks also carry meaningful messages...","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec85e28862b7.jpg,
"ARTSPEAK: HIDDEN INFLUENCERS
",Durriya Kazi,Socialising the young to uphold collective values and behaviour was once the responsibility of a family or a tribe....,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec85e038a3e6.jpg,
"SMOKERS’ CORNER: THE AGE OF JUDICIAL POPULISM
",Nadeem F. Paracha,"Instead of aiding the judiciary to come to a middle-ground, judicial activism has broken away and sprinted towards populism.","May 25, 2020",https://i.dawn.com/medium/2020/05/5ec85d8f27eb8.jpg,
"EPICURIOUS: COOKING FOR THE QUARANTINE
",Irfan Husain,Try these simple and easy-to-cook dishes to beat the blues of social isolation...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec82035c2a91.jpg,
"ADVICE: AUNTIE AGNI
",From InpaperMagazine,‘I’ m married. How can I still study for my exams?’...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec82003e4cb4.jpg,
"GARDENING: ‘CAN I GROW A FIG TREE FROM FIGS?’
",Zahrah Nasir,All your gardening queries answered here...,"May 24, 2020",https://i.dawn.com/medium/2020/05/5ec81f96d1e8f.jpg,
"ANIMALS AND THE CITY
",Jawziya F. Zaman,"The pain of animals is a fact of this city, like concrete. And smog. And traffic.","May 24, 2020",https://i.dawn.com/medium/2020/05/5ec07b67e16b2.jpg?r=226895865,
"SOCIETY: THE FUTURE OF A CRISIS
",Nadeem Hussain,"Now is the time to consider a more holistic strategy to respond to and manage disasters, keeping in mind the...","May 17, 2020",https://i.dawn.com/medium/2020/05/5ec06059c25da.jpg?r=2033044652,
"CHESS: THE WRATH OF KHAN
",Ather Sultan,"In a country obsessed with cricket, not many sports buffs know about a countryman who achieved exceptional...","May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf2858b1783.jpg,
"HEALTH: PREGNANT IN THE PANDEMIC?
",Mehreen Chawla,Pregancies can be a time of stress for expectant mothers. The pandemic and its resultant lockdowns have added...,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf28436defc.jpg,
"DISCOURSE: CARTOGRAPHY AND ART
",Zohreen Murtaza,Some contemporary artists use maps to highlight issues of identity and belonging...,"May 17, 2020",https://i.dawn.com/medium/2020/05/5ebf2623df8da.jpg,
